MAIN_LREF	PAID_AMT	ABYS_AGREEMENT_ID	CLOSED
468800	246	197168	1
661450	311	276503	1
8170377	2450.84	2221	1
8688394	6795.16	2221	1
9692181	3105	2221	1
9716132	52	5727	1
10197780	295	2221	1
12718062	45	5727	1
15030009	25	197168	1
16250779	15	5727	1
17999680	445	2221	0
18277190	500	2221	0
18452373	25	5727	1
18716294	5	276503	1
20132980	3695	2221	0
26715187	25	5727	1
28077379	20	197168	1
28350953	135	197168	1
31078567	10	197168	1
31635320	1845	2221	1
31319919	15	197168	1
32534317	280	5727	1
19901375	1840	2221	0
16073291	20	5727	1
13962598	6980.3	2221	1
19835315	5	5727	1
28647701	6065	2221	1
49747797	45	276503	1
11030998	105	5727	1
28544306	325	197168	1
15876450	280	197168	1
14444589	3215	2221	1
10020543	4245	2221	1
17111116	95	197168	1
20297944	40	5727	1
25853331	380	197168	1
11763839	25	5727	1
17887155	595	2221	0
30318369	20	197168	1
24069375	50	2221	1
33803538	10	5727	1
21077498	20	197168	1
32926055	355	197168	1
9575787	16	5727	1
15193520	110	197168	1
9305558	1683	2221	1
27104106	20	197168	1
33756749	15	197168	1
63984619	16.3	5727	1
66047848	2285	2221	1
876268	77.88	5727	1
67976736	275	5727	1
68668694	358	197168	1
69920480	1630	2221	1
70689015	34	556305	1
71419160	279	2221	1
74461548	5062	2221	1
75762577	387	197168	1
84176269	9046	2221	1
85903313	339	197168	1
86552200	67	5727	1
92309481	1.77	197168	1
92309487	1.77	197168	1
92309497	1.77	197168	1
92309507	1.77	197168	1
92309509	1.77	197168	1
94960200	4059	2221	1
94265099	13241	2221	1
96638433	17	5727	1
95934245	67	197168	1
97392471	11	5727	1
100386405	271	5727	1
101147702	390	5727	1
102712189	670	197168	1
103493529	663	197168	1
105587434	22	5727	1
106978997	10	5727	1
113198299	346	5727	1
117280400	627	197168	1
120341821	1115	5727	1
120915939	50915	2221	1
121754959	53869	2221	1
124321705	1	5727	1
126067001	19613	978259	1
131749621	10644	978259	1
132367385	187	197168	1
135340369	38685	2221	1
135554277	800	5727	1
134126514	21544	978259	1
137368170	3772	197168	1
137908634	76479	2221	1
138130066	1448	5727	1
139583997	48773	2221	1
140678319	350	5727	1
142382641	248	197168	1
145788598	344	5727	1
146894540	42788	978259	1
149341906	1497	5727	1
152016939	681.88	1192595	0
8695812	34.61	5727	1
8956490	9.6	5727	1
8976174	650.42	2221	1
9844414	6690	2221	1
10101546	2333	2221	1
11516065	15	5727	1
11914812	1515	2221	1
12024863	85	5727	1
12295938	130	5727	1
13457571	25	5727	1
14302714	6010.62	2221	1
14916777	5	5727	1
15752160	85	5727	1
17034950	130	197168	1
17243275	550	2221	0
20462703	9756.84	2221	1
21903722	15	5727	1
23519962	145	197168	1
24637995	10	5727	1
25534581	50	197168	1
24903955	185	5727	1
27237411	10	5727	1
27952493	5	5727	1
29159287	285	5727	1
28970899	495	197168	1
29843782	68.2	5727	1
32178434	9050	2221	1
31810648	40	197168	1
32276365	520	197168	1
33167118	3475	2221	1
15683689	395	197168	1
15101112	1160	2221	1
20770139	35	197168	1
9765217	4902.76	2221	1
13925387	125	5727	1
15333439	235	197168	1
8528201	12.23	5727	1
29848976	130	197168	1
20227726	405	197168	1
27393939	20	197168	1
12880106	30	5727	1
15617697	185	2221	0
16115627	2750	2221	1
17700662	100	5727	1
19494718	40	5727	1
23691690	10	5727	1
30257868	20	197168	1
17867535	105	5727	1
13617790	60	5727	1
18180954	290	197168	1
11045313	6300	2221	1
8633481	2917.47	2221	1
27525456	10	5727	1
26830212	10	5727	1
21066010	15	276503	1
25826250	6505	2221	1
10048432	64	5727	1
19115898	9.9	197168	1
20257454	246.28	276503	1
70671335	30	5727	1
71975466	14	556305	1
73788319	3117	2221	1
74305423	105	5727	1
74376057	321	197168	1
76362153	42	197168	1
77918821	1033	2221	1
80113818	27	5727	1
83461135	12154	2221	1
85830938	91	5727	1
88100361	15	197168	1
92309476	1.77	197168	1
92309486	1.77	197168	1
92309539	1.77	197168	1
92309538	1.77	197168	1
92309535	1.77	197168	1
92309510	1.77	197168	1
92309528	1.77	197168	1
92309526	1.77	197168	1
95871366	23	5727	1
95260750	188	197168	1
96450469	561	2221	1
98931828	29	197168	1
100913054	10436	2221	1
101228947	667	197168	1
102393460	12522	2221	1
103157897	12278	2221	1
118743418	224	5727	1
122548093	27941.99	978259	1
122844709	884	2221	1
128129589	50283	2221	1
128348009	1235	5727	1
128958901	43369	2221	1
129982064	222	5727	1
130076181	13007	978259	1
132416210	12278	978259	1
134685399	323	197168	1
138793745	84331	2221	1
141543556	316	197168	1
141502850	29	5727	1
139102291	14253	978259	1
140045770	21635	978259	1
145611646	35152	2221	1
146665596	1261	5727	1
150319159	103516	2221	1
151205685	3964	197168	1
151194549	38669	978259	1
8765345	62.32	5727	1
9622297	2190.14	2221	1
9786938	82	5727	1
10927279	6630	2221	1
12481316	90	5727	1
12679542	0.5	5727	1
13665261	4885.88	2221	1
15574851	110	5727	1
17424368	350	197168	1
18476645	15	5727	1
19677953	900	2221	0
21626273	25	197168	1
21472575	20	197168	1
20190743	565	197168	1
22611802	500	197168	1
23260374	105	5727	1
23342689	45	2221	1
25562930	2520	2221	1
26259114	40	5727	1
25238644	185	5727	1
25837602	170	5727	1
29412473	6995	2221	1
28770504	355	5727	1
28917146	6945	2221	1
30248737	15	5727	1
33441914	40	5727	1
18914981	10	276503	1
14852598	25	197168	1
9451434	15	5727	1
11288757	4215	2221	1
32538207	510	197168	1
17423663	100	5727	1
9025247	40.52	5727	1
24550658	15	197168	1
9927634	4612	2221	1
32253721	375	5727	1
12744437	3740	2221	1
23117937	3495	2221	1
9649328	47	5727	1
10726312	40	5727	1
10812525	5625	2221	1
64818280	15	197168	1
67421689	615	197168	1
67954147	8999	2221	1
68156323	2150	2221	1
71339415	23	556305	1
72982761	12	197168	1
71956280	6	5727	1
75851322	8416	2221	1
77751151	17	5727	1
77819638	62	197168	1
82728746	8258	2221	1
82925194	137	5727	1
84362916	220	5727	1
87397614	31	197168	1
89525789	24	197168	1
91401900	8124	2221	1
92309468	3.78	197168	1
92309485	1.77	197168	1
92309482	1.77	197168	1
92309527	1.77	197168	1
92309525	1.77	197168	1
93062368	387	5727	1
93829391	377	197168	1
95176775	100	5727	1
100459636	426	197168	1
103884751	5804	2221	1
104871299	35	5727	1
104912440	112	197168	1
105695440	98	197168	1
111361065	22689	2221	1
112142555	26617	2221	1
114850744	177	197168	1
117070929	27.13	5727	1
121335613	1626	197168	1
123642566	3207	978259	1
126959736	17935	978259	1
127790271	17295	978259	1
137079880	75982	2221	1
137393573	1860	5727	1
142556369	25374	978259	1
147578741	2429	5727	1
145913541	35385	978259	1
149178948	82849	2221	1
149349692	4422	197168	1
150323602	5113	197168	1
152787703	115	2221	1
800106	200	276503	1
8212936	13.56	5727	1
8406681	8.61	5727	1
8802265	70.34	5727	1
8476178	1192.3	2221	1
36208064	38	2221	1
9139522	75	5727	1
12164717	100	5727	1
15961029	755	2221	0
16810979	720	2221	1
17855023	330	197168	1
19205823	20	197168	1
19383145	955	2221	0
20106849	10	5727	1
20620074	15	5727	1
22416150	145	197168	1
25455661	70	5727	1
24948179	7875	2221	1
27068043	0.41	5727	1
31225959	5	5727	1
32195157	95	2221	1
33137949	65	5727	1
16638762	15	197168	1
